assessmentId,internalTaxonId,scopes,genusName,speciesName,binomial,redlistCategory,redlistCriteria,EOOmethod,AOOmethod,yearPublished,assessmentDate,criteriaVersion,language,systems,realm
2700381,201335,Global,Aloe,adigratana,Aloe adigratana,Endangered,B1ab(iii)+2ab(iii),MCP from points adjusted with expert knowledge,NA,2013,2010-03-11 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2703002,201371,Global,Aloe,albovestita,Aloe albovestita,Endangered,B1ab(iii),MCP from points adjusted with expert knowledge,NA,2013,2010-03-11 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2702486,201364,Global,Aloe,ambigens,Aloe ambigens,Endangered,B1ab(iii)+2ab(iii),MCP from points adjusted with expert knowledge,NA,2013,2010-03-11 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2703683,201380,Global,Aloe,ankoberensis,Aloe ankoberensis,Endangered,"B1ab(iii,v)+2ab(iii,v)",MCP from points adjusted with expert knowledge,Points and expert knowledge,2013,2010-03-11 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2701606,201352,Global,Aloe,bargalensis,Aloe bargalensis,Near Threatened,,MCP from points adjusted with expert knowledge,NA,2013,2010-03-11 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2704666,201393,Global,Aloe,bella,Aloe bella,Endangered,B1ab(iii),Expert knowledge,NA,2013,2010-03-20 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2699647,201325,Global,Aloe,benishangulana,Aloe benishangulana,Data Deficient,,NA,NA,2013,2011-08-16 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2704098,201385,Global,Aloe,bertemariae,Aloe bertemariae,Data Deficient,,NA,NA,2013,2010-03-20 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2699581,201324,Global,Aloe,breviscapa,Aloe breviscapa,Least Concern,,NA,NA,2013,2010-03-20 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2699785,201327,Global,Aloe,brunneostriata,Aloe brunneostriata,Critically Endangered,B1ab(iii)+2ab(iii),MCP from points adjusted to match AOO,Points,2013,2010-03-20 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2700241,201333,Global,Aloe,calidophila,Aloe calidophila,Least Concern,,MCP from points,NA,2013,2011-08-18 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2700753,201340,Global,Aloe,camperi,Aloe camperi,Least Concern,,MCP from points,NA,2013,2011-08-18 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2702549,201365,Global,Aloe,canarina,Aloe canarina,Data Deficient,,NA,NA,2013,2010-03-11 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2702919,201370,Global,Aloe,citrina,Aloe citrina,Least Concern,,MCP from points,NA,2013,2011-08-18 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2702095,201359,Global,Aloe,clarkei,Aloe clarkei,Least Concern,,NA,NA,2013,2010-03-20 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2703298,201375,Global,Aloe,crassipes,Aloe crassipes,Data Deficient,,NA,NA,2013,2010-04-01 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2704170,201386,Global,Aloe,cremnophila,Aloe cremnophila,Endangered,D,MCP from points adjusted with expert knowledge,Points and expert knowledge,2013,2010-04-06 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2704739,201394,Global,Aloe,debrana,Aloe debrana,Least Concern,,MCP from points,NA,2013,2010-10-20 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
2703877,201382,Global,Aloe,diolii,Aloe diolii,Least Concern,,NA,NA,2013,2010-04-01 00:00:00 UTC,3.1,English,Terrestrial,Afrotropical
