,Species,genusName,authority,binomial,Match.in.DW.,Collections.total,Genus,No..of.ex.situ.sites.worldwide,IUCN.Red.List,Threat.Stat,collmsb
7,benishangulana,Aloe,Sebsebe & Tesfaye,Aloe benishangulana,,0,Aloe,0,Data Deficient,Data Deficient,not banked
8,bertemariae,Aloe,Sebsebe & Dioli ,Aloe bertemariae,,0,Aloe,1,Data Deficient,Data Deficient,not banked
13,canarina,Aloe,S.Carter ,Aloe canarina,,0,Aloe,5,Data Deficient,Data Deficient,not banked
16,crassipes,Aloe,Baker,Aloe crassipes,,0,Aloe,0,Data Deficient,Data Deficient,not banked
41,jacksonii,Aloe,Reynolds ,Aloe jacksonii,,0,Aloe,46,Data Deficient,Data Deficient,not banked
57,orlandi,Aloe,Lavranos ,Aloe orlandi,,0,Aloe,0,Data Deficient,Data Deficient,not banked
69,rubrodonta,Aloe,T.A.McCoy & Lavranos ,Aloe rubrodonta,,0,Aloe,0,Data Deficient,Data Deficient,not banked
85,welmelensis,Aloe,Sebsebe & Nordal,Aloe welmelensis,,0,Aloe,0,Data Deficient,Data Deficient,not banked
86,weloensis,Aloe,Sebsebe,Aloe weloensis,,0,Aloe,0,Data Deficient,Data Deficient,not banked
5,bargalensis,Aloe,Lavranos ,Aloe bargalensis,,0,Aloe,8,Near Threatened,Not threatened,not banked
9,breviscapa,Aloe,Reynolds & P.R.O.Bally ,Aloe breviscapa,,0,Aloe,1,Least Concern,Not threatened,not banked
11,calidophila,Aloe,Reynolds ,Aloe calidophila,,0,Aloe,2,Least Concern,Not threatened,not banked
12,camperi,Aloe,Schweinf. ,Aloe camperi,,0,Aloe,45,Least Concern,Not threatened,not banked
14,citrina,Aloe,S.Carter & Brandham,Aloe citrina,Aloe citrina S.Carter & Brandham,1,Aloe,4,Least Concern,Not threatened,banked
15,clarkei,Aloe,L.E.Newton,Aloe clarkei,,0,Aloe,0,Least Concern,Not threatened,not banked
18,debrana,Aloe,Christian ,Aloe debrana,,0,Aloe,8,Least Concern,Not threatened,not banked
19,diolii,Aloe,L.E.Newton ,Aloe diolii,,0,ALOE,7,Least Concern,Not threatened,not banked
20,djiboutiensis,Aloe,T.A.McCoy ,Aloe djiboutiensis,,0,Aloe,1,Least Concern,Not threatened,not banked
21,elegans,Aloe,Tod.  ,Aloe elegans,,0,Aloe,21,Least Concern,Not threatened,not banked
22,elegantissima,Aloe,T.A.McCoy & Lavranos ,Aloe elegantissima,,0,Aloe,0,Least Concern,Not threatened,not banked
23,elkerriana,Aloe,Dioli & T.A.McCoy ,Aloe elkerriana,,0,Aloe,0,Least Concern,Not threatened,not banked
24,ellenbeckii,Aloe,A.Berger ,Aloe ellenbeckii,Aloe ellenbeckii A.Berger,1,Aloe,15,Least Concern,Not threatened,banked
27,ericahenriettae,Aloe,T.A.McCoy ,Aloe ericahenriettae,,0,Aloe,0,Least Concern,Not threatened,not banked
28,eumassawana,Aloe,"S.Carter, M.G.Gilbert & Sebsebe ",Aloe eumassawana,,0,Aloe,0,Least Concern,Not threatened,not banked
31,gilbertii,Aloe,T.Reynolds ex Sebsebe & Brandham,Aloe gilbertii,,0,Aloe,4,Least Concern,Not threatened,not banked
