occurrenceID,basisOfRecord,kingdom,family,genus,specificEpithet,scientificNameAuthorship,scientificName,taxonRank,taxonomicStatus,recordedBy,recordNumber,eventDate,institutionCode,decimalLatitude,decimalLongitude,locality
1,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,adigratana,Reynolds,Aloe adigratana Reynolds,species,accepted,"Ash, J.",1815,25/12/1972,K,14.10389,39.57722,ETH-TY: 84 km N of Mekelle
2,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,adigratana,Reynolds,Aloe adigratana Reynolds,species,accepted,"Ash, J.",1815,25/12/1972,K,14.10389,39.57722,ETH-TY: 84 km N of Mekelle
3,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,adigratana,Reynolds,Aloe adigratana Reynolds,species,accepted,"Reynolds, G.W.",8073,16/4/1956,K,14.35,39.41667,ETH-TU: 19 km N of Adigrat
4,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,adigratana,Reynolds,Aloe adigratana Reynolds,species,accepted,"Reynolds, G.W.",8076,17/4/1956,K  (iso),14.35,39.38333,ETH-TU: Mt. Slopes 10 km W of Adigrat
5,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,adigratana,Reynolds,Aloe adigratana Reynolds,species,accepted,"Schweinfurth, G.",154,,K,14.75,39.36667,ERI-EW: Plateau of Kohaito
6,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,adigratana,Reynolds,Aloe adigratana Reynolds,species,accepted,"Sebsebe, D.",3190,//,ETH,14.13028,39.56972,"ETH-TU: Agame Awraja, 15 km from Adigrat towards Mekele"
7,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,albovestita,S.Carter & Brandham,Aloe albovestita S.Carter & Brandham,species,accepted,Bailes,214,/11/1982,K (holo),10.75528,47.26778,SOM-N2: top of Mait Pass immediately S of top escarpment
8,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,albovestita,S.Carter & Brandham,Aloe albovestita S.Carter & Brandham,species,accepted,"Bally, P.R.O.",10351,5/11/1954,K,10.77694,47.51028,SOM-N2: Medishe
9,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,albovestita,S.Carter & Brandham,Aloe albovestita S.Carter & Brandham,species,accepted,"Bally, P.R.O.",11110,15/10/1956,K,10.91667,48.36667,SOM-N2: Al Madu Range at Guri Ijer
10,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ambigens,Chiov.,Aloe ambigens Chiov.,species,accepted,"Lavranos, J.; Carter, S.",23340,28/9/1985,K,5.31444,48.3,"SOM-C1: Mudug Region, 34 km W of Hobyo, just E of Gawein village."
11,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ambigens,Chiov.,Aloe ambigens Chiov.,species,accepted,Puccioni; Stefanini,447,,FT (Type),5.58333,48.08333,"SOM-C1: between ""Attodi"" and ""Dolobscio"""
12,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ambigens,Chiov.,Aloe ambigens Chiov.,species,accepted,"Wieland, R.G.",4352,27/5/1987,K,6.14,48.63167,"SOM-C1: About 91.5 km from Hobyo, north along the Hobyo-Budbud inland road. A cutline, which supports the track to Xingod transects the Hobyo Budbud road at this point. more information given"
13,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ambigens,Chiov.,Aloe ambigens Chiov.,species,accepted,"Wieland, R.G.",4738,13/7/1987,K,5.305,48.29333,"SOM-C1: Hobyo, S of Gawaan Village"
14,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Ash, J.",2353,4/2/1974,K,9.58333,39.73333,"ETH-SU: Near Ankober, 44 km SE of  Debre Berhan on Ankober Road"
15,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Ash, J.",2353,4/2/1974,K,9.58333,39.73333,"ETH-SU: Near Ankober, 44 km SE of  Debre Berhan on Ankober Road"
16,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Ash, J.",2353,4/2/1974,K,9.58333,39.73333,"ETH-SU: Near Ankober, 44 km SE of  Debre Berhan on Ankober Road"
17,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Ash, J.",3723,19/12/1976,K,9.58167,39.74556,ETH-SU: Ankober
18,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Ash, J.",3723,19/12/1976,K,9.58167,39.74556,ETH-SU: Ankober
19,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Ash, J.",3723,19/12/1976,K,9.58167,39.74556,ETH-SU: Ankober
20,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Ash, J.",3723,19/12/1976,K,9.58167,39.74556,ETH-SU: Ankober
21,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"de Wilde, W.J.J.O.",9623,,,9.85917,39.75722,"ETH-SU: Between Debre Sina, and Debre Berhan, near Mussolini Pass"
22,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,ankoberensis,M.G.Gilbert & Sebsebe,Aloe ankoberensis M.G.Gilbert & Sebsebe,species,accepted,"Friis, I.; et al.",1356,26/11/1972,"ETH, K",9.63333,39.71667,"ETH-SU: 34 km E of Debre Berhan, on the road to Ankober"
23,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,bargalensis,Lavranos,Aloe bargalensis Lavranos,species,accepted,"Barbier, C.",1049,,K,10.38333,50.23333,"SOM-N2: Between Bargal 11017'N 51005E and Dskushubar, 10023'N 50014'E"
24,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,bargalensis,Lavranos,Aloe bargalensis Lavranos,species,accepted,"Thulin, M.; Abd Dahir; Ahmed Osman",10212,,"K, UPS",10.98333,50.33333,"SOM-N: Bargal, Al Miskat (Cal Miskat), Xarago Village"
25,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,bargalensis,Lavranos,Aloe bargalensis Lavranos,species,accepted,,,//,cited protologue,11.61667,50.33333,SOM: Durbo on the Gulf of Adan 11 37 N 50 20 E
26,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,bargalensis,Lavranos,Aloe bargalensis Lavranos,species,accepted,,,//,cited protologue,10.96667,49.08333,"SOM: Ahl Medo Hills, near Galgallo 10 58 N 49 5 E"
27,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,bella,G.D.Rowley,Aloe bella G.D.Rowley,species,accepted,"Lavranos, J.; Carter, S.; et al.",24802,18/11/1986,K,10.51667,50.73333,"SOM-N3: 90 km NE of Iskusciuban, 20 km NE of escarpment"
28,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,benishangula,Sebsebe & Tesfaye,Aloe benishangula Sebsebe & Tesfaye,species,accepted,"Friis, I.; et al.",9130,20/11/1998,"C, ETH & K",10.16667,34.65,ETH-WG: 20 km N of Asosa along road to Kurmuk
29,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,benishangula,Sebsebe & Tesfaye,Aloe benishangula Sebsebe & Tesfaye,species,accepted,"Herrmann, C.",157,,ETH,10.18467,34.6515,ETH-WG: About 3 km NE Amba 11
30,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,benishangula,Sebsebe & Tesfaye,Aloe benishangula Sebsebe & Tesfaye,species,accepted,"Herrmann, C.",253,,ETH,10.18467,34.6515,"ETH-WG:  Near Assosa, E of Amba 3"
31,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,benishangula,Sebsebe & Tesfaye,Aloe benishangula Sebsebe & Tesfaye,species,accepted,"Herrmann, C.",,,ETH,10.18467,34.6515,"ETH-WG:  Near Assosa, E of Amba 3"
32,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,benishangula,Sebsebe & Tesfaye,Aloe benishangula Sebsebe & Tesfaye,species,accepted,Sebsebe; et al.,5945,,ETH,10.18483,34.65233,ETH-WG: 19 km from Assosa to Komosha
33,PreservedSpecimen,Plantae,Asphodelaceae,Aloe,benishangula,Sebsebe & Tesfaye,Aloe benishangula Sebsebe & Tesfaye,species,accepted,"Tesfaye, A.",,,ETH,10.18483,34.65233,"ETH-WG: Benshangul-Gumuz, 18 km along the road from Assossa to Homosha"
